unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Buttons and MVC,1,Buttons and MVC Overview,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,KCapercqiwY,"<ul><li>In this lesson, you'll learn about the files that are created in a vanilla Hello World project. You will also be introduced to 3 apps that we will write in this unit: Hello Button, Tic Tac Toe (both together in the videos), and LightsOut (the lab)</li></ul>"
1,Buttons and MVC,2,Hello Button View,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,4fgtOgYdUMM,"<ul><li>In this lesson, you'll learn about making UIs from a specification, including layouts and string and color resources.</li></ul>"
1,Buttons and MVC,3,Hello Button Controller,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,fL3L2TnHs_Q,"<ul><li>This lesson teaches you how to use button's onClickListeners, and you'll learn how to capture views from the layout, and strings and colors from your resource files.</li></ul>"
1,Buttons and MVC,4,MVC and Tic Tac Toe Model,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,R33mXKGkdYc,"<ul><li>This lesson is about the Model-View-Controller design pattern and how Android supports it. We look briefly at a model for a TicTacToe game.</li></ul>"
1,Buttons and MVC,5,TicTacToe View,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,0fsmIFaVImY,"<ul><li>More practice creating UIs to specification. Introducing TableLayouts.</li></ul>"
1,Buttons and MVC,6,TicTacToe Controller,yes,Questions,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,kps2PvKMS4g,"<ul><li>In this lesson, you'll learn how to respond when listing to multiple buttons.</li></ul>"
1,Buttons and MVC,7,Lab: LightsOut,,,https://docs.google.com/presentation/d/1tvQwswjle4X6hWRDJy1CDccu0soHqd9BrlUxC8oPFFg,7O8JbCaaY5I,"<ul><li>The lab specification is <a href='https://docs.google.com/document/d/1_eQnvUilkf0oj5IoqNAjTvZ-hC-6pbGBZC1xPXwimrQ'  target='_blank'>here</a>.</li><li>If you are taking this course in the academic year, get your lab checked off by an instructor or assistant. If you are taking it in the summer, submit your zipped project plus video demo and complete the Moodle 'Buttons and MVC' self-evaluation survey before calling it a day.</li></ul>"
2,Menus and Dialogs,1,Menus and Dialogs Overview,,,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,9-nR0GxiJNM,"<ul><li>In this lesson, you'll get an overview of many UI elements: the floating action button, toolbar menu items, snackbars, alert dialogs, and floating context menus. You'll also see a preview of the Point of Sale app that we'll develop together that uses these elements.</li></ul>"
2,Menus and Dialogs,2,Floating Action Button,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,20zqtQzwJLU,"<ul><li>In this lesson, you'll learn about the Floating Action Button</li></ul>"
2,Menus and Dialogs,3,Toolbar,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,i8WRqs53jLg,"<ul><li>In this lesson, you'll learn about adding menu items to the toolbar.</li></ul>"
2,Menus and Dialogs,4,Snackbar,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,BepniySFLQs,"<ul><li>In this lesson, you'll learn how to create snackbars with and without actions, and toast messages.</li></ul>"
2,Menus and Dialogs,5,Iconography,,,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,iazCY7Yomhg,"<ul><li>In this lesson, you'll learn where to find Android's custom icons and how to create your own. This is important if you post your app on Google Play.</li></ul>"
2,Menus and Dialogs,6,Dialogs,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,GDlz2G2HRwM,"<ul><li>In this lesson, you'll learn about standard very flexible AlertDialogs, focusing on creating a custom view.</li></ul>"
2,Menus and Dialogs,7,Dialogs Part 2,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,1rZH58EVqoo,"<ul><li>In this lesson, you'll finish the AlertDialog, focusing on onCreateDialog.</li></ul>"
2,Menus and Dialogs,8,AlertDialogs with Items,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,QfqZ6BTmSI4,"<ul><li>In this lesson, you'll learn how to show a list of items instead of a message in one of three ways: items only, radio buttons, or checklists.</li></ul>"
2,Menus and Dialogs,9,Confirmation Dialogs,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,6aEyvlZlXEI,"<ul><li>In this lesson, you'll practice making dialogs by creating an option to remove all items, asking the user in a dialog to confirm their choice.</li></ul>"
2,Menus and Dialogs,10,Floating Context Menus,yes,Questions,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,HrwzDlxrcaw,"<ul><li>In this lesson, you'll learn how to make floating context menus appear when you long-press on an item.</li></ul>"
2,Menus and Dialogs,11,Lab: Jersey,,,https://docs.google.com/presentation/d/1e_XfiXIHQ8gbiYdEAhZ7DHP-bUjNQP-Ev05NdExx-Ak,SaBvuV51X-g,"<ul><li>The lab specification is <a href='https://docs.google.com/document/d/1_6zvFGKn1k-_7Fr8JFmQywftgzXYShNMJ7oA070Hmx0' target='_blank'>here</a>.</li><li>If you are taking this course in the academic year, get your lab checked off by an instructor or assistant. If you are taking it in the summer, submit your zipped project plus video demo and complete the Moodle 'Menus and Dialogs' self-evaluation survey before calling it a day.</li></ul>"
