unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Table based navigation with a single Core Data entity,1,Overview and breaking the Master-Detail template,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,ADHPbtQdiWI,"<ul><li>The goal for this unit is to make a MovieQuotes app that uses Core Data</li><li>In addition to learning about Core Data, which will be the later videos, we'll also show you UI skills for tables, dialogs, and navigation controllers.</li><li>We'll start by looking at Apple's Master-Detail template for Core Data (then break it!)</li></ul>"
1,Table based navigation with a single Core Data entity,2,Basic UITableView,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,8uvoGJh1Uwg,"<ul><li>We'll create a 'Temp' view controller to connect a delegate and dataSource to a UITableView</li><li>Note that a UITableView is just a specialized view.  In this lesson we'll use a UITableView within a normal view controller.</li><li>A UITableViewController is a subclass of UIViewController that is specifically a view controller that has only a UITableView in it (NOT using that this time).</li><li>This is an awesome exercise, but notice the name says 'Temp' (what does that mean to you?)</li></ul>"
1,Table based navigation with a single Core Data entity,3,Reading MovieQuotes for table display,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,OAV-YVLyxPA,"<ul><li>This time we won't delete any of our work. :)  We'll start making our <b>real</b> list of MovieQuotes.</li><li>We'll worry only about the R in C<b>R</b>UD this time, to read a list of hard coded MovieQuote objects.</li><li>We'll also learn about different UITableViewCell styles that are built in.</li></ul>"
1,Table based navigation with a single Core Data entity,4,Creating a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,BjqPyUGcOGI,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,5,Empty Message when no rows are present,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,Ze2c1qensCg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,6,Deleting a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,4HaviVGAdII,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,7,MovieQuoteDetailViewController,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,6kxuBiM-9kg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,8,Editing a MovieQuote,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,6ZMa5dkmsMg,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,9,Creating a MovieQuote NSManagedObject,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,3DPMA0AxiTY,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,10,Read and Create a MovieQuote from Core Data,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,kmUN7O5x45Y,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,11,Editing and Deleting MovieQuotes from Core Data,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,KN-34ByCQdc,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,12,Creating an NSFetchedResultsController,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,Y7gKzBiv8r8,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,13,Using an NSFetchedResultsController,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,briLQ1EaY_E,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,14,Adding back the UITableViewCell animations,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,LqfZaNg83_M,"<ul><li></li><li></li><li></li><li></li></ul>"
1,Table based navigation with a single Core Data entity,15,Weatherpics Core Data Lab,yes,Questions,https://docs.google.com/presentation/d/16GOkjkN5fEzpAzDOF-gX-nvKv9vMy-NTkGysxXcUtxQ/edit?usp=sharing,rB0o1krqWdg,"<ul><li></li><li></li><li></li><li></li></ul>"
