unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Welcome to iOS Development,1,Course Intro Demo,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,hlvBaeYLWNI,"<ul><li>We'll start the course with a demo so you can just sit back and watch.</li><li>I'll be using Xcode 6.1 for iOS 8 in this video to show you an overview of what iOS development looks like.</li><li>Over time tools change, use the newest tools available.</li><li>We'll start this app with a Master-Detail Application and we won't write any Swift code until the next video.</li></ul>"
1,Welcome to iOS Development,2,ButtonsAndLabels,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,h8KJ4Ckp5lQ,"<ul><li>We'll create a Swift file and create placeholder classes for all three view controllers in that file ButtonsAndLabelsViewController, TouchesViewController, and StudentTableViewController</li><li>We'll connect the Storyboard view controllers, add some Constrains, then make Button Actions and a Label Outlet</li><li>After that setup is complete we'll implement the ButtonsAndLabelsViewController</li><li>Here is the Swift code added, that uses the Outlet and Action connections from the Storyboard:</li></ul><script src='https://gist.github.com/fisherds/e748466f9bc01f11dfbd.js'></script>"
1,Welcome to iOS Development,3,TouchesViewController,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,Ojxq57SYa7s,"<ul><li>We'll implement the TouchesViewController in this video.</li><li>We'll add an ImageView and move it around the screen using touches</li><li>Here is the Swift code used to implement this view controller:</li></ul><script src='https://gist.github.com/fisherds/f48804988b50fd7608f7.js'></script>"
1,Welcome to iOS Development,4,StudentTableViewController,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,0-4zpJ_7xbI,"<ul><li>In this video we'll implement the StudentTableViewController.  This class won't use any IBOutlet or IBActions, however we will use the Storyboard to create a UITableViewCell Prototype called StudentCell</li><li>A UITableViewController is, by default, the delegate to its TableView so it <b>must</b> implement:</li><li style='margin-left: 30px;'><b>tableView:cellForRowAtIndexPath:</b> and <b>tableView:numberOfRowsInSection:</b></li><li>Optionally we'll also implement the delegate method for <b>tableView:didSelectRowAtIndexPath:</b></li></ul><script src='https://gist.github.com/fisherds/e312bfda45fd89b7a160.js'></script>"
1,Welcome to iOS Development,5,Why iOS?,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,QkqFEciBQuw,"<ul><li>Just a chance to learn more about me and talk about why you might choose to learn about iOS Development</li><li>I'm guessing that since you are here you probably don't need to be convinced that iOS Development is a useful skill.</li></ul>"
1,Welcome to iOS Development,6,My short iOS Journey,,,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,VaYgoMZs2zs,"<ul><li>Another non-technical video just to learn a little bit more about big picture</li><li>The summary is that apps won't make you rich so don't quit your day job, but iOS development is a VERY useful job skill.</li><li>My path (that I recommend to others as well): Work a day job to pay the bills (great if you use iOS there too!) and find some people to work with on a small business for fun.  Going solo as an app developer will probably not bring you the fame and fortune you seek. :)</li></ul>"
1,Welcome to iOS Development,7,Hello World Lab,yes,Questions,https://docs.google.com/presentation/d/1DduW8izI7wXhYwkdcTrxtvf5aAM8mWhJ9MxPwliwlv4/edit?usp=sharing,1gvgqX4wMGs,"<ul><li>Here is the link to the <a target='_blank' href='https://docs.google.com/document/d/1gUmpnVILZbFEpLl8yLDUR28mqBxyCBJZH975AUrkEMU/edit?usp=sharing'>Xcode Installation / Hello World Lab Instructions</a></li><li>You will install Xcode and show that you have the tools installed so you can start the course.</li></ul>"
2,Interface Builder,1,Intro to Interface Builder,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,p1_Yuk3nwjA,"<ul><li>We'll get started adding Constraints to our views so that they adjust to different screen size.</li><li>So far (2015) iPhone has four sizes (<a target='_blank' href='https://www.apple.com/iphone/compare/'>/apple/iphone/compare</a>): 5.5 inches, 4.7 inches, 4 inches, and the older original 3.5 inch (not shown)<br><img style='width: 50%; margin-left: 20%;' src='assets/img/iphone_sizes.png' alt='iPhone sizes'><br></li><li>With all these new sizes there have been changes to iOS development that require you to start using the Constraints system in Interface Builder.  We'll start showing you the different ways to add Constrains for you layouts.</li></ul>"
2,Interface Builder,2,Update to UI for Landscape,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,oBEjGGECZoA,"<ul><li>We'll clear all of our old Constraints, simplify our UI a bit, and start over with our layout (good practice).</li><li>We'll add a new Contraint for center Y which will be our first alignment constraint and Equal Widths (which is very handy).</li><li>You can add Constraints using right click drag, the pin view icon, the menu system, or hope for the best with auto layout.</li></ul>"
2,Interface Builder,3,IBActions and IBOutlets,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,37mN-Qe9z3I,"<ul><li></li><li></li><li></li><li></li></ul>"
2,Interface Builder,4,Swift code to finish Color Sliders,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,t-GZ7dGhu5c,"<ul><li></li><li></li><li></li><li></li></ul>"
2,Interface Builder,5,Starting Flexible Layout,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,zFlEBRuIL_0,"<ul><li></li><li></li><li></li><li></li></ul>"
2,Interface Builder,6,Finishing Flexible Layouts,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,gZT8a7NskA0,"<ul><li></li><li></li><li></li><li></li></ul>"
2,Interface Builder,7,ScoreKeeper Lab,yes,Questions,https://docs.google.com/presentation/d/1sSTGofCK5Bzw3sXfqW5RCL2SyQZGOpVhRjsG9KO-vJQ/edit?usp=sharing,lesson_video_id,"<ul><li></li><li></li><li></li><li></li></ul>"
